title,rating,comments,year
肖申克的救赎,9.7,希望让人自由。,1994
霸王别姬,9.6,风华绝代。,1993
泰坦尼克号,9.5,失去的才是永恒的。,1997
阿甘正传,9.5,一部美国近现代史。,1994
千与千寻,9.4,最好的宫崎骏，最好的久石让。,2001
美丽人生,9.5,最美的谎言。,1997
星际穿越,9.4,爱是一种力量，让我们超越时空感知它的存在。,2014
这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。,1994
盗梦空间,9.4,诺兰给了我们一场无法盗取的梦。,2010
楚门的世界,9.4,如果再也不能见到你，祝你早安，午安，晚安。,1998
辛德勒的名单,9.5,拯救一个人，就是拯救整个世界。,1993
忠犬八公的故事,9.4,永远都不能忘记你所爱的人。,2009
海上钢琴师,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1998
疯狂动物城,9.3,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016
三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。,2009
机器人总动员,9.3,小瓦力，大人生。,2008
放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。,2004
无间道,9.3,香港电影史上永不过时的杰作。,2002
控方证人,9.6,比利·怀德满分作品。,1957
大话西游之大圣娶亲,9.2,一生所爱。,1995
熔炉,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011
寻梦环游记,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,2017
触不可及,9.3,满满温情的高雅喜剧。,2011
教父,9.3,千万不要记恨你的对手，这样会让你失去理智。,1972
当幸福来敲门,9.1,平民励志片。,2006
末代皇帝,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987
哈利·波特与魔法石,9.2,童话世界的开端。,2001
龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。,1988
活着,9.3,张艺谋最好的电影。,1994
怦然心动,9.1,真正的幸福是来自内心深处。,2010
蝙蝠侠：黑暗骑士,9.2,无尽的黑暗。,2008
指环王3：王者无敌,9.3,史诗的终章。,2003
我不是药神,9.0,对我们国家而言，这样的电影多一部是一部。,2018
乱世佳人,9.3,Tomorrow is another day.,1939
飞屋环游记,9.1,最后那些最无聊的事情，才是最值得怀念的。,2009
让子弹飞,9.0,你给我翻译翻译，神马叫做TMD的惊喜。,2010
哈尔的移动城堡,9.1,带着心爱的人在天空飞翔。,2004
十二怒汉,9.4,1957年的理想主义。,1957
海蒂和爷爷,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,2015
素媛,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013
猫鼠游戏,9.1,骗子大师和执著警探的你追我跑故事。,2002
天空之城,9.2,对天空的追逐，永不停止。,1986
鬼子来了,9.3,对敌人的仁慈，就是对自己残忍。,2000
摔跤吧！爸爸,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016
少年派的奇幻漂流,9.1,瑰丽壮观、无人能及的冒险之旅。,2012
钢琴家,9.3,740508,2002
指环王2：双塔奇兵,9.2,承前启后的史诗篇章。,2002
死亡诗社,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989
大话西游之月光宝盒,9.0,1351098,1995
何以为家,9.1,凝视卑弱生命，用电影改变命运。,2018
绿皮书,8.9,去除成见，需要勇气。,2018
闻香识女人,9.1,1010707,1992
大闹天宫,9.4,503290,1961
黑客帝国,9.1,938729,1999
指环王1：护戒使者,9.1,948729,2001
罗马假日,9.1,1038854,1953
教父2,9.3,630984,1974
狮子王,9.1,950122,1994
天堂电影院,9.2,734596,1988
饮食男女,9.2,714753,1994
辩护人,9.2,电影的现实意义大过电影本身。,2013
本杰明·巴顿奇事,9.0,在时间之河里感受溺水之苦。,2008
搏击俱乐部,9.0,961068,1999
美丽心灵,9.1,846599,2001
穿条纹睡衣的男孩,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008
情书,8.9,1308925,1995
哈利·波特与死亡圣器(下),9.0,10年的完美句点。,2011
两杆大烟枪,9.1,669321,1998
窃听风暴,9.2,别样人生。,2006
音乐之声,9.1,676988,1965
功夫,8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004
西西里的美丽传说,8.9,1084014,2000
哈利·波特与阿兹卡班的囚徒,9.0,不一样的导演，不一样的哈利·波特。,2004
阿凡达,8.8,绝对意义上的美轮美奂。,2009
看不见的客人,8.8,你以为你以为的就是你以为的。,2016
拯救大兵瑞恩,9.1,718092,1998
沉默的羔羊,8.9,1005225,1991
小鞋子,9.2,458540,1997
布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,2014
飞越疯人院,9.1,598425,1975
蝴蝶效应,8.9,人的命运被自己瞬间的抉择改变。,2004
禁闭岛,8.9,昔日翩翩少年，今日大腹便便。,2010
心灵捕手,9.0,807129,1997
致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,2006
还有明天,9.3,348169,2023
低俗小说,8.9,948437,1994
超脱,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,2011
哈利·波特与密室,8.9,905080,2002
一一,9.1,497843,2000
喜剧之王,8.8,1084039,1999
摩登时代,9.3,342751,1936
杀人回忆,8.9,827100,2003
致命ID,8.9,937018,2003
春光乍泄,9.0,704155,1997
加勒比海盗,8.8,959572,2003
海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,2009
美国往事,9.1,466861,1984
红辣椒,9.0,梦的勾结。,2006
七宗罪,8.8,1051848,1995
唐伯虎点秋香,8.8,1213156,1993
狩猎,9.1,人言可畏。,2012
幽灵公主,8.9,662609,1997
甜蜜蜜,8.9,664549,1996
寄生虫,8.8,1534461,2019
蝙蝠侠：黑暗骑士崛起,8.9,诺兰就是保证。,2012
天书奇谭,9.2,329885,1983
7号房的礼物,8.9,《我是山姆》的《美丽人生》。,2013
超能陆战队,8.8,Balalala~~~,2014
第六感,8.9,630787,1999
爱在黎明破晓前,8.8,791182,1995
爱在日落黄昏时,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004
茶馆,9.6,204001,1982
被嫌弃的松子的一生,8.8,以戏谑来戏谑戏谑。,2006
重庆森林,8.8,915516,1994
哈利·波特与火焰杯,8.8,792215,2005
未麻的部屋,9.1,419467,1997
头脑特工队,8.8,愿我们都不用长大，每一座城堡都能永远存在。,2015
借东西的小人阿莉埃蒂,8.9,曾经的那段美好会沉淀为一辈子的记忆。,2010
入殓师,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008
菊次郎的夏天,8.9,668824,1999
剪刀手爱德华,8.7,1114631,1990
断背山,8.8,每个人心中都有一座断背山。,2005
勇敢的心,8.9,602370,1995
时空恋旅人,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013
